39.22,7903,6.9,15-07-04,I Robot
34.662,18691,8.4,15-10-99,Fight Club
32.612,11587,6.6,29-10-13,Thor: The Dark World
39.069,14260,7.3,30-05-17,Wonder Woman
40.149,7615,7.6,25-11-92,Aladdin
36.183,0,0,10-04-20,Love. Wedding. Repeat
30.858,76,5.1,14-08-09,Grace
34.671,8130,6.9,25-06-13,Despicable Me 2
39.114,8539,6.1,20-11-08,Twilight
50.415,4508,8.1,24-11-16,Lion
42.303,2326,6.2,29-05-19,Godzilla: King of the Monsters
41.096,7709,7.5,15-10-14,Fury
36.346,2605,7.9,12-04-17,Gifted
32.381,13910,7.7,10-06-05,Batman Begins
25.494,2708,5.8,13-10-17,Geostorm
35.795,75,6.6,09-01-20,Like a Boss
34.04,5052,6.6,15-05-18,Solo: A Star Wars Story
32.661,11876,7.5,10-11-16,Arrival
40.659,8740,6.2,15-11-17,Justice League
31.59,12308,7.8,01-11-01,Monsters Inc.
35.117,1938,7,07-10-62,Dr. No
27.379,4,7.8,29-01-20,Block Z
36.838,1,10,12-10-18,Mamu (and a Mother Too)
33.075,16458,7.8,18-11-97,Titanic
38.62,6294,8,23-02-96,Trainspotting
37.14,917,6.5,14-11-19,Charlie's Angels
27.406,1105,7.7,18-10-19,The Lighthouse
40.378,1391,6.2,21-08-19,Angel Has Fallen
33.27,0,0,09-04-20,Endless
24.139,4161,5.5,26-03-13,G.I. Joe: Retaliation
28.851,0,0,21-02-20,Sekaiichi Hatsukoi: Propose-hen
31.975,12502,8.3,22-09-95,Se7en
48.643,1299,6.8,24-05-19,The Secret Life of Pets 2
30.117,14641,8,25-12-13,The Wolf of Wall Street
32.674,8794,7.6,28-03-18,Ready Player One
32.824,1323,6.9,21-08-19,Ready or Not
27.397,15633,7.7,16-07-12,The Dark Knight Rises
29.221,114,5.8,02-10-18,Death Race: Beyond Anarchy
39.534,31,6,17-01-20,32 Malasana Street
36.667,5130,6.7,12-03-15,Cinderella
40.93,4729,5.8,07-08-14,Teenage Mutant Ninja Turtles
47.718,87,5,01-10-75,Ilsa: She Wolf of the SS
33.985,1767,6.1,02-10-19,Gemini Man
47.471,7099,7.6,22-12-00,Cast Away
23.239,2169,6.6,07-04-11,Hanna
34.439,13262,7.2,26-11-12,The Hobbit: An Unexpected Journey
34.679,3525,6.9,03-05-19,Pokémon Detective Pikachu
36.158,1472,6.1,19-09-19,Rambo: Last Blood
32.635,12122,6.9,16-03-17,Beauty and the Beast
37.989,1534,7.2,14-11-19,Uncut Gems
44.267,11743,8.1,14-11-14,The Imitation Game
31.359,2674,6.1,11-04-19,After
33.726,15803,6.9,18-04-13,Iron Man 3
29.031,4062,6.3,12-04-18,Rampage
41.66,477,7.1,16-09-11,The Hidden Face
28.183,251,6.3,25-03-20,The Occupant
36.438,6323,6.8,29-07-94,The Mask
28.65,2025,7.1,03-07-19,Midsommar
30.784,3708,6.7,07-04-95,Bad Boys
33.539,7,7,03-04-20,The Other Lamb
24.571,388,7.4,04-03-95,Dragon Ball Z: Fusion Reborn
33.422,2,7,,Shit & Champagne
37.362,14046,6.8,28-04-10,Iron Man 2
44.924,3,2.7,13-09-19,The Panti Sisters
19.987,656,5.2,05-09-91,Freddy's Dead: The Final Nightmare
27.158,5117,6.2,19-05-15,Tomorrowland
30.712,374,5.7,02-01-20,The Grudge
37.502,1,6,14-03-03,Nater Guru
46.25,20,6.8,15-06-01,Gadar: Ek Prem Katha
34.005,7640,7.3,30-06-06,The Devil Wears Prada
36.717,4844,6.6,20-07-17,Valerian and the City of a Thousand Planets
31.432,1839,6.2,13-12-19,6 Underground
34.851,8328,6.6,28-09-18,Venom
40.333,8,8.6,14-03-20,Elephant
31.331,6485,8.3,01-09-17,Call Me by Your Name
35.232,578,7.8,09-08-19,Descendants 3
34.647,8,4.8,14-11-86,Jocks
32.712,0,0,15-05-20,Dreams of Darkness
32.689,1,1,10-04-20,Corona Zombies
32.664,10310,7.1,14-12-07,I Am Legend
33.228,7659,7.5,03-10-18,A Star Is Born
27.235,44,6.4,06-10-18,Re: Zero kara Hajimeru Isekai Seikatsu - Memory Snow
33.851,382,7.1,12-11-19,Lady and the Tramp
29.614,4546,7.4,07-07-78,Grease
36.204,11198,6.8,18-11-14,The Hunger Games: Mockingjay - Part 1
30.252,7993,7.5,26-10-84,The Terminator
36.157,10763,8.2,27-10-17,Coco
30.687,11977,7.9,30-10-95,Toy Story
32.982,2104,7.7,19-07-08,Ponyo
31.76,6405,6.9,14-11-18,Fantastic Beasts: The Crimes of Grindelwald
27.426,14174,8.2,18-08-09,Inglourious Basterds
45.002,1,10,10-04-20,Four Kids and It
31.825,10605,7.5,14-12-16,Rogue One: A Star Wars Story
29.025,7394,6.5,26-10-15,Spectre
32.127,12008,7.3,26-09-16,Split
34.014,9290,7,21-06-12,Brave
31.85,6874,7.5,14-11-06,Casino Royale
34.86,7056,7.5,02-05-97,The Fifth Element
29.851,11445,7.1,01-05-02,Spider-Man
36.124,9025,7.5,27-08-14,Birdman or (The Unexpected Virtue of Ignorance)
40.03,4780,8.4,19-11-04,Howl's Moving Castle
29.573,10189,7.6,18-05-01,Shrek
27.047,3571,5.6,05-09-18,The Nun
36.613,13605,7.4,16-11-16,Fantastic Beasts and Where to Find Them
32.001,13831,7.8,28-02-17,Logan
30.403,107,6.7,27-02-20,The Decline
31.622,50,4.1,20-08-18,Jurassic Galaxy
37.368,9545,7.1,28-05-14,Maleficent
32.004,7659,7.9,12-06-81,Raiders of the Lost Ark
40.655,2119,7.1,25-02-04,The Passion of the Christ
30.319,5689,7.2,24-09-14,The Equalizer
32.169,4124,7.2,11-05-18,The Kissing Booth
30.642,12037,7.7,05-11-04,The Incredibles
29.68,11548,7.9,29-11-16,La La Land
26.087,2772,7,22-03-07,Shooter
30.534,3538,7.8,25-05-75,Monty Python and the Holy Grail
32.168,686,7.3,19-09-19,Abominable
34.801,2456,7.3,02-07-80,Airplane!
30.303,11106,7.2,08-07-10,Despicable Me
27.147,7367,5.6,11-02-15,Fifty Shades of Grey
36.203,3078,7.9,06-11-19,Marriage Story
31.137,906,6,03-05-19,The Last Summer
26.948,54,7.2,21-03-19,Balkan Line
29.138,16000,7.5,13-05-15,Mad Max: Fury Road
32.077,3808,7.5,07-09-97,Gattaca
40.677,9477,7.2,19-05-07,Pirates of the Caribbean: At World's End
25.899,0,0,30-08-19,Arjona Circo Soledad en Vivo
35.296,4,4.5,26-10-19,Saekano: How to Raise a Boring Girlfriend Fine
41.83,5237,8.5,26-08-16,Your Name.
27.063,9757,8.5,10-12-99,The Green Mile
36.316,9625,6.4,14-05-11,Pirates of the Caribbean: On Stranger Tides
30.792,2592,6.1,27-11-18,Mortal Engines
33.649,10402,6.7,20-06-13,World War Z
35.735,14191,8.3,18-12-02,The Lord of the Rings: The Two Towers
29.407,7616,7.3,03-04-18,A Quiet Place
36.398,7904,6.6,23-05-17,Pirates of the Caribbean: Dead Men Tell No Tales
23.685,2253,6.4,09-02-12,Safe House
26.909,53,6.4,27-03-20,Uncorked
35.307,518,7.1,04-10-19,Dolemite Is My Name
22.765,2150,6.6,13-10-16,Trolls
24.393,7026,7.7,15-07-88,Die Hard
39.36,7990,7.5,14-06-18,Incredibles 2
36.527,26,6.7,03-10-90,Shipwrecked
35.377,3344,7.4,30-06-95,Apollo 13
38.924,1121,6.7,02-05-19,Long Shot
17.771,0,0,03-03-20,Cannibal Hookers
30.379,6632,7.7,13-11-91,Beauty and the Beast
24.225,1849,5.8,04-04-19,Pet Sematary
28.136,3335,7.7,20-07-16,Train to Busan
29.435,9344,6.4,19-05-99,Star Wars: Episode I - The Phantom Menace
28.461,4314,7,22-02-50,Cinderella
32.703,7254,6.7,23-05-03,Bruce Almighty
31.652,10488,7.7,22-06-07,Ratatouille
25.748,5628,7.2,23-05-84,Indiana Jones and the Temple of Doom
28.834,8196,6.4,30-05-12,Prometheus
30.44,5573,5.9,09-05-17,Alien: Covenant
35.824,6668,6.3,03-07-02,Men in Black II
26.025,5068,6.3,30-10-08,Quantum of Solace
32.374,7296,6.2,12-06-08,The Incredible Hulk
31.312,2320,5.9,12-06-19,Men in Black: International
25.714,301,4.3,19-12-19,Cats
27.931,3486,6.6,15-12-18,Bumblebee
26.633,20152,7.9,30-07-14,Guardians of the Galaxy
26.863,5754,6.1,27-05-15,San Andreas
25.319,1879,6.4,11-03-15,Run All Night
30.638,10,4.2,08-08-17,Kiss and Kill
28.885,538,5.2,15-08-19,47 Meters Down: Uncaged
31.658,9385,8.6,30-11-93,Schindler's List
28.358,4263,7.8,07-05-08,The Boy in the Striped Pyjamas
30.704,7795,8,03-07-91,Terminator 2: Judgment Day
32.523,0,0,09-04-20,Red Dwarf: The Promised Land
27.205,987,6.6,19-06-19,Anna
30.723,5873,8.3,16-11-18,Green Book
28.038,2083,6.5,06-08-04,The Princess Diaries 2: Royal Engagement
24.531,5021,7.4,03-08-07,The Bourne Ultimatum
23.43,1237,5.4,07-12-06,American Pie Presents: The Naked Mile
26.278,469,7.3,23-03-56,Forbidden Planet
31.966,8741,7.9,25-06-82,Blade Runner
21.388,645,6.5,08-08-19,Dora and the Lost City of Gold
39.771,0,0,10-04-20,Stray Dolls
22.984,5519,6.7,04-03-15,Chappie
20.358,9355,7.9,18-12-13,Her
25.084,0,0,12-11-20,No Time to Die
39.621,13030,5.8,23-03-16,Batman v Superman: Dawn of Justice
31.265,4234,6.3,17-01-18,Fifty Shades Freed
27.334,2,5.5,03-05-19,Lupinranger VS Patranger VS Kyuranger
26.073,9246,6.5,18-05-16,X-Men: Apocalypse
23.399,1081,5.5,14-01-15,Wild Card
27.104,6931,8.5,20-12-74,The Godfather: Part II
29.507,187,8.2,25-10-19,How to Train Your Dragon: Homecoming
23.777,0,0,09-04-20,Stray
30.74,8766,8.1,25-05-79,Alien
22.756,1329,6.2,11-07-19,Crawl
29.049,5602,8,10-12-16,Hidden Figures
16.702,0,0,,Truth to Power: Barbara Lee Speaks for Me
27.807,8457,6.5,15-05-02,Star Wars: Episode II - Attack of the Clones
28.589,4637,7,10-01-18,Maze Runner: The Death Cure
28.62,12362,8,22-06-08,WALL·E
24.571,11401,7.1,25-10-12,Skyfall
26.975,6940,6.4,08-03-17,Kong: Skull Island
23.057,7276,7.3,01-04-15,Furious 7
30.848,3000,6.8,03-08-01,The Princess Diaries
24.398,3860,7.1,28-07-51,Alice in Wonderland
29.844,86,6.2,03-10-17,Sniper: Ultimate Kill
28.376,540,7.1,10-09-80,The Gods Must Be Crazy
32.925,11331,8.1,01-05-00,Gladiator
28.668,3667,7,14-03-19,Us
31.771,4863,7.1,20-12-37,Snow White and the Seven Dwarfs
31.363,4935,7.3,17-11-89,The Little Mermaid
25.321,358,6.6,26-06-15,Teen Beach 2
25.764,5982,5.8,18-11-09,The Twilight Saga: New Moon
32.63,139,6.4,30-08-19,The Informer
23.35,6330,7.9,24-05-95,Braveheart
30.897,6939,8.1,09-04-68,2001: A Space Odyssey
37.444,299,7.1,10-10-19,Jexi
19.039,1773,7.9,11-03-84,Nausicaä of the Valley of the Wind
20.831,952,6.5,12-12-69,On Her Majesty's Secret Service
26.02,3994,6.9,07-05-15,Pitch Perfect 2
23.629,5907,6.8,07-04-16,The Jungle Book
28.823,8690,7.6,11-12-13,The Hobbit: The Desolation of Smaug
27.092,1427,7.5,22-06-79,Escape from Alcatraz
37.839,28,6.3,23-01-20,Timmy Failure: Mistakes Were Made
24.303,5980,7.6,18-06-75,Jaws
29.952,2427,7.4,16-11-77,Close Encounters of the Third Kind
29.352,6967,7.9,08-11-07,No Country for Old Men
21.91,2376,7.7,18-08-16,Kubo and the Two Strings
26.818,4884,5.3,04-02-15,Jupiter Ascending
31.6,675,7.5,13-12-19,Richard Jewell
20.654,264,4.8,26-09-14,Outcast
24.39,4505,8.4,12-07-97,Princess Mononoke
25.518,398,7.4,22-11-19,Dark Waters
26.885,2909,7.4,23-04-04,Man on Fire
24.376,3968,6.8,21-05-01,Pearl Harbor
26.405,0,0,09-04-20,Master
16.038,0,0,,Followed
30.972,7752,8.1,07-10-16,Hacksaw Ridge
21.573,3107,6.7,15-06-17,Cars 3
30.823,1576,6.6,18-01-18,Den of Thieves
23.003,471,6.8,08-12-06,Black Snake Moan
28.447,8,7.6,05-03-20,Hotel Belgrad
26.352,529,7.5,14-08-13,The Flu
